IT대학 컴퓨터학부,,,,,,,,,,,2019학년도 제 1학기,,
3,공학전공,COMP422-001,소프트웨어공학,,3,3,,최윤자,"화5B,6A,6B 목7A,7B,8A",,,IT융복합관(IT융복합공학관)-345,
3,공학전공,EECS312-001,네트워크프로그래밍,,3,2,2,펑리메이,"화1A,1B,2A,2B,3A,3B,4A,4B",,,IT융복합관(IT융복합공학관)-355,
3,공학전공,EECS312-002,네트워크프로그래밍,,3,2,2,펑리메이,"수1A,1B,2A,2B,3A,3B,4A,4B",,,IT융복합관(IT융복합공학관)-355,
3,공학전공,ITEC401-016,종합설계프로젝트1,,4,3,2,고석주,"월0A,0B,10A,10B,11A,11B,12A,12B,13A,13B",,,IT융복합관(IT융복합공학관)-245,
3,공학전공,ITEC401-017,종합설계프로젝트1,,4,3,2,한기준,"월0A,0B,10A,10B,11A,11B,12A,12B,13A,13B",,,공대9호관-521,
3,전공기반,ITEC419-001,데이터과학기초,,3,3,,아난드 폴,"월7A,7B,8A 수5B,6A,6B",,,IT융복합관(IT융복합공학관)-342,
3,교직,TCHR499-001,컴퓨터 논리 및 논술지도,,3,3,,김승호,"금1A,1B,2A,2B,3A,3B",,,IT대학4호관(제2학생회관)-108,
4,공학전공,COMP324-002,인공지능,,3,3,,아난드 폴,"월8B,9A,9B 수8B,9A,9B",,,IT융복합관(IT융복합공학관)-342,
4,공학전공,COMP413-001,컴퓨터그래픽스,,3,3,,김구진,"월5B,6A,6B 수5B,6A,6B",,,IT융복합관(IT융복합공학관)-348,
4,공학전공,COMP413-002,컴퓨터그래픽스,,3,3,,백낙훈,"화2B,3A,3B 목2B,3A,3B",,,IT융복합관(IT융복합공학관)-345,
4,공학전공,COMP414-001,컴퓨터망,,3,3,,김동균,"월7A,7B,8A 수7A,7B,8A",,,IT융복합관(IT융복합공학관)-348,
,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,
IT대학 컴퓨터학부,,,,,,,,,,,2019학년도 제 1학기,,
학년,구분, 교과번호-분반     ,  교 과 목 명,,학점,강의,실습,담당교수,"강의시간(요일,교시)        ",,,강 의 실    ,비고
4,공학전공,COMP414-002,컴퓨터망,,3,3,,김재수,"화5B,6A,6B 목5B,6A,6B",,,IT융복합관(IT융복합공학관)-342,
4,공학전공,COMP420-001,모바일앱프로그래밍2,,3,2,2,정기숙,"금1A,1B,2A,2B,3A,3B,4A,4B",,,IT융복합관(IT융복합공학관)-245,
4,공학전공,ITEC402-003,종합설계프로젝트2,,4,3,2,고석주,"수0A,0B,10A,10B,11A,11B,12A,12B,13A,13B",,,IT융복합관(IT융복합공학관)-245,
4,공학전공,ITEC402-004,종합설계프로젝트2,,4,3,2,김승호,"수0A,0B,10A,10B,11A,11B,12A,12B,13A,13B",,,IT융복합관(IT융복합공학관)-248,
4,공학전공,ITEC402-005,종합설계프로젝트2,,4,3,2,김재수,"화0A,0B,10A,10B,11A,11B,12A,12B,13A,13B",,,IT융복합관(IT융복합공학관)-245,
4,공학전공,ITEC402-006,종합설계프로젝트2,,4,3,2,김정홍,"화0A,0B,10A,10B,11A,11B,12A,12B,13A,13B",,,IT융복합관(IT융복합공학관)-248,
4,기본소양,ITEC403-001,IT지식재산권,,3,3,,정원일,"목8B,9A,9B,10A,10B,11A",,,IT융복합관(IT융복합공학관)-251,
4,공학전공,ITEC416-001,고급웹프로그래밍,,3,2,2,이성원,"월1A,1B,2A,2B,3A,3B,4A,4B",,,IT융복합관(IT융복합공학관)-355,
4,공학전공,ITEC420-001,모바일로봇프로그래밍,,3,2,2,정설영,"수1A,1B,2A,2B,3A,3B,4A,4B",,,IT융복합관(IT융복합공학관)-309,
,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,
IT대학 컴퓨터학부 글로벌소프트웨어융합전공,,,,,,,,,,,2019학년도 제 1학기,,
학년,구분, 교과번호-분반     ,  교 과 목 명,,학점,강의,실습,담당교수,"강의시간(요일,교시)        ",,,강 의 실    ,비고
1,교양,CLTR211-039,수학 I,,3,3,,,"월1A,1B,2A 수2B,3A,3B",,,IT대학4호관(제2학생회관)-104,
1,교양,CLTR211-040,수학 I,,3,3,,,"월1A,1B,2A 수2B,3A,3B",,,IT융복합관(IT융복합공학관)-342,
1,교양,CLTR266-001,SW 사고기법,,3,3,,이호경,"월5B,6A,6B 수7A,7B,8A",,,IT융복합관(IT융복합공학관)-351,
1,교양,CLTR266-002,SW 사고기법,,3,3,,이호경,"월7A,7B,8A 수5B,6A,6B",,,IT융복합관(IT융복합공학관)-351,
1,전공,COME301-001,이산수학,,3,3,,박혜영,"목7A,7B,8A 금2B,3A,3B",,,IT대학4호관(제2학생회관)-104,
1,전공,COME301-002,이산수학,,3,3,,김재일,"목7A,7B,8A 금2B,3A,3B",,,IT융복합관(IT융복합공학관)-342,
1,전공,COMP204-001,프로그래밍기초,,6,4,4,정순기,"화1A,1B,2A,2B,3A,3B,4A,4B 목1A,1B,2A,2B,3A,3B,4A,4B",,,IT융복합관(IT융복합공학관)-245,
1,전공,COMP204-002,프로그래밍기초,,6,4,4,,"화1A,1B,2A,2B,3A,3B,4A,4B 목1A,1B,2A,2B,3A,3B,4A,4B",,,IT융복합관(IT융복합공학관)-248,
1,전공,COMP204-003,프로그래밍기초,,6,4,4,정창수,"화1A,1B,2A,2B,3A,3B,4A,4B 목1A,1B,2A,2B,3A,3B,4A,4B",,,IT융복합관(IT융복합공학관)-251,
1,전공,GLSO211-001,SW실용영어,,3,3,,아난드 폴,"월2B,3A,3B 수1A,1B,2A",,,IT대학4호관(제2학생회관)-104,
1,전공,GLSO211-002,SW실용영어,,3,3,,아난드 폴,"월5B,6A,6B 수7A,7B,8A",,,IT융복합관(IT융복합공학관)-342,
,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,
IT대학 컴퓨터학부 글로벌소프트웨어융합전공,,,,,,,,,,,2019학년도 제 1학기,,
학년,구분, 교과번호-분반     ,  교 과 목 명,,학점,강의,실습,담당교수,"강의시간(요일,교시)        ",,,강 의 실    ,비고
2,교양,CLTR086-001,기업가정신과 벤처창업,,3,3,,이장우,"일1A,1B,2A,2B,3A,3B",,,제4합동강의동-108,
2,교양,CLTR689-003,미래산업과 직업선택,,3,3,,류택형,"수8B,9A,9B,금8B,9A,9B",,,IT융복합관(IT융복합공학관)-B101,
