,,,,,,,,,,,,,,
,,CLTR045-001,논리와 비판적 사고,3.0 ,,3.0 ,,배성민,"수8B,9A,9B 금8B,9A,9B",,,인문대학-101,불어불문학과,
,,CLTR045-002,논리와 비판적 사고,3.0 ,,3.0 ,,배성민,"화1A,1B,2A 목2B,3A,3B",,,인문대학-218,독어독문학과,
,,CLTR045-003,논리와 비판적 사고,3.0 ,,3.0 ,,권홍우,"수1A,1B,2A 금2B,3A,3B",,,인문대학-211,철학과,
,,CLTR045-004,논리와 비판적 사고,3.0 ,,3.0 ,,전재원,"수8B,9A,9B 금7A,7B,8A",,,사회과학대학-552,지리학과,
,,CLTR045-005,논리와 비판적 사고,3.0 ,,3.0 ,,이상봉,"월8B,9A,9B 수7A,7B,8A",,,자연과학대학-B05,통계학과,
,,CLTR045-006,논리와 비판적 사고,3.0 ,,3.0 ,,김경수,"월5B,6A,6B 금5B,6A,6B",,,제4합동강의동-202,경영학부,
,,CLTR045-007,논리와 비판적 사고,3.0 ,,3.0 ,,주혜연,"월5B,6A,6B 금5B,6A,6B",,,제4합동강의동-307,경영학부,
,,CLTR045-008,논리와 비판적 사고,3.0 ,,3.0 ,,임지혜,"월5B,6A,6B 금5B,6A,6B",,,경상대학-201,경영학부,
,,CLTR045-009,논리와 비판적 사고,3.0 ,,3.0 ,,이향연,"월1A,1B,2A 수2B,3A,3B",,,공대12호관-213,환경공학과,
,,CLTR045-010,논리와 비판적 사고,3.0 ,,3.0 ,,정석현,"월2B,3A,3B 금1A,1B,2A",,,공대12호관-103,섬유시스템공학과,
,,CLTR045-011,논리와 비판적 사고,3.0 ,,3.0 ,,전재원,"수1A,1B,2A 금2B,3A,3B",,,공대3호관-504,금속신소재공학전공,
,,CLTR045-012,논리와 비판적 사고,3.0 ,,3.0 ,,성회경,"월1A,1B,2A 금2B,3A,3B",,,공대12호관-215,건축공학전공,
,,CLTR045-013,논리와 비판적 사고,3.0 ,,3.0 ,,임진아,"월5B,6A,6B 금5B,6A,6B",,,공대12호관-101,응용화학전공,
,,CLTR045-014,논리와 비판적 사고,3.0 ,,3.0 ,,정석현,"월1A,1B,2A 수2B,3A,3B",,,공대6호관-101,화학공학전공,
,,CLTR045-015,논리와 비판적 사고,3.0 ,,3.0 ,,성회경,"월8B,9A,9B 수7A,7B,8A",,,농대2호관-401,식품공학부,
,,CLTR045-016,논리와 비판적 사고,3.0 ,,3.0 ,,강동수,"월8B,9A,9B 수7A,7B,8A",,,복현회관-201,식품공학부,
,,CLTR045-017,논리와 비판적 사고,3.0 ,,3.0 ,,허재훈,"월5B,6A,6B 금5B,6A,6B",,,복현회관-201,산림과학.조경학부,
,,CLTR045-018,논리와 비판적 사고,3.0 ,,3.0 ,,오신택,"월7A,7B,8A 금7A,7B,8A",,,농대1호관-323,농업토목공학전공,
,,CLTR045-019,논리와 비판적 사고,3.0 ,,3.0 ,,김진태,"수8B,9A,9B 금8B,9A,9B",,,농대1호관-323,생물산업기계공학전공,
,,CLTR045-020,논리와 비판적 사고,3.0 ,,3.0 ,,주혜연,"월7A,7B,8A 금7A,7B,8A",,,제4합동강의동-101,수학교육과,
,,CLTR045-022,논리와 비판적 사고,3.0 ,,3.0 ,,김지현,"수8B,9A,9B 금8B,9A,9B",,,KNU글로벌프라자-402,인문사회자율전공,
,,CLTR045-023,논리와 비판적 사고,3.0 ,,3.0 ,,김상현,"수8B,9A,9B 금8B,9A,9B",,,KNU글로벌프라자-501,인문사회자율전공,
,,CLTR045-024,논리와 비판적 사고,3.0 ,,3.0 ,,박정식,"화5B,6A,6B 목5B,6A,6B",,,KNU글로벌프라자-510,자연과학자율전공,
,,CLTR045-025,논리와 비판적 사고,3.0 ,,3.0 ,,석원호,"화8B,9A,9B 목8B,9A,9B",,,제4합동강의동-402,치의예과,
,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(사고교육),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
